settingsFile;InputVideo; Frame#; GaussMean;GaussStdDev;GaussMixProp;Goodness-Of-Fit Value;kalmanGaussMean;kalmanGaussStdDev;kalmanGaussMixProp;Rain Intensity;Kalman Rain Intensity
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 110; 143.877709;31.682308;0.290402;0.206572;128.700151;19.049979;0.051659;163997.964650;29173.308605
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 111; 175.185262;2.723867;0.276396;0.170698;128.700151;19.049979;0.051659;154045.203496;28791.364534
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 112; 174.728985;2.990810;0.327349;0.128840;128.700151;19.049979;0.051659;163835.787642;25854.968417
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 113; 114.172426;15.588644;0.229852;0.120112;128.700151;19.049979;0.051659;88192.711384;19821.247959
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 114; 119.000000;0.000000;0.127617;0.135215;128.700151;19.049979;0.051659;47134.373314;19079.852817
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 115; 104.242873;11.496951;0.059561;0.113384;128.700151;19.049979;0.051659;19891.481941;17252.496980
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 116; 91.427162;3.736785;0.056596;0.121773;128.700151;19.049979;0.051659;19489.176955;17789.012661
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 117; 166.059403;6.074873;0.123448;0.117073;128.700151;19.049979;0.051659;42264.786639;17686.407721
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 118; 161.793748;9.857102;0.114741;0.113828;128.700151;19.049979;0.051659;37971.865640;17095.886869
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 119; 157.557091;10.804689;0.120666;0.119659;128.700151;19.049979;0.051659;41321.631382;17690.458665
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 120; 154.700248;5.574637;0.091448;0.126883;128.700151;19.049979;0.051659;33423.577450;18880.998592
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 121; 157.966686;9.386313;0.167473;0.094541;128.700151;19.049979;0.051659;60317.713398;18605.706950
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 122; 132.720849;31.317808;0.212854;0.140024;128.700151;19.049979;0.051659;67014.692604;16264.290453
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 123; 123.323427;31.895426;0.253862;0.137054;128.700151;19.049979;0.051659;75226.902836;15308.116441
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 124; 85.534824;12.590865;0.184265;0.116972;128.700151;19.049979;0.051659;54648.153656;15320.710350
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 125; 103.086407;10.321258;0.093130;0.098285;128.700151;19.049979;0.051659;24581.094584;13635.052704
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 126; 104.613633;7.773223;0.178920;0.105601;128.700151;19.049979;0.051659;50176.825083;14487.407100
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 127; 94.065450;23.261252;0.201578;0.072321;128.700151;19.049979;0.051659;62933.279575;16128.141710
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 128; 105.034021;7.500109;0.130069;0.088910;128.700151;19.049979;0.051659;38557.932557;15313.924870
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 129; 131.484471;8.333010;0.070971;0.068638;128.700151;19.049979;0.051659;17219.302815;12533.739607
